"SID","Commodity code","Product line suffix","Start date","End date","Indentation","End line","Description"
94069,"0102292930","80","01/01/2012","",6,1,"Heifers of the Schwyz and Fribourg breeds"
94070,"0102292940","80","01/01/2012","",6,1,"Heifers of the spotted Simmental breed"
94071,"0102292950","80","01/01/2012","",6,1,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds"
94072,"0102292990","80","01/01/2012","",6,1,"Other"
94073,"0102294100","10","01/01/2012","",4,0,"Of a weight exceeding 160 kg but not exceeding 300 kg"
94074,"0102294100","80","01/01/2012","",5,1,"For slaughter"
94075,"0102294900","80","01/01/2012","",5,0,"Other"
94076,"0102294910","80","01/01/2012","",6,1,"Young male bovine animals, intended for fattening"
94077,"0102294920","80","01/01/2012","",6,1,"Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed"
94078,"0102294930","80","01/01/2012","",6,1,"Heifers and cows of the Schwyz and Fribourg breeds"
94079,"0102294940","80","01/01/2012","",6,1,"Heifers and cows of the spotted Simmental breed"
94080,"0102294950","80","01/01/2012","",6,1,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds"
94081,"0102294990","80","01/01/2012","",6,1,"Other"
94082,"0102295100","10","01/01/2012","",4,0,"Of a weight exceeding 300 kg"
94083,"0102295100","20","01/01/2012","",5,0,"Heifers (female bovines that have never calved)"
94084,"0102295100","80","01/01/2012","",6,0,"For slaughter"
94085,"0102295110","80","01/01/2012","",7,1,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg"
94086,"0102295190","80","01/01/2012","",7,1,"Other"
94087,"0102295900","80","01/01/2012","",6,0,"Other"
94088,"0102295911","10","01/01/2012","",7,0,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed"
94089,"0102295911","80","01/01/2012","",8,1,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg"
94090,"0102295919","80","01/01/2012","",8,1,"Other"
94091,"0102295921","10","01/01/2012","",7,0,"Of the Schwyz and Fribourg breeds"
94092,"0102295921","80","01/01/2012","",8,1,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg"
94093,"0102295929","80","01/01/2012","",8,1,"Other"
94094,"0102295931","10","01/01/2012","",7,0,"Of the spotted Simmental breed"
94095,"0102295931","80","01/01/2012","",8,1,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg"
94096,"0102295939","80","01/01/2012","",8,1,"Other"
94097,"0102295991","10","01/01/2012","",7,0,"Other"
94098,"0102295991","80","01/01/2012","",8,1,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg"
94099,"0102295999","80","01/01/2012","",8,1,"Other"
94100,"0102296100","10","01/01/2012","",5,0,"Cows"
94101,"0102296100","80","01/01/2012","",6,1,"For slaughter"
94102,"0102296900","80","01/01/2012","",6,0,"Other"
94103,"0102296910","80","01/01/2012","",7,1,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed"
94104,"0102296920","80","01/01/2012","",7,1,"Of the Schwyz and Fribourg breeds"
94105,"0102296930","80","01/01/2012","",7,1,"Of the spotted Simmental breed"
94106,"0102296990","80","01/01/2012","",7,1,"Other"
94118,"0102299100","10","01/01/2012","",5,0,"Other"
94119,"0102299100","80","01/01/2012","",6,0,"For slaughter"
94120,"0102299110","80","01/01/2012","",7,1,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg"
94121,"0102299190","80","01/01/2012","",7,1,"Other"
94122,"0102299900","80","01/01/2012","",6,0,"Other"
94123,"0102299921","10","01/01/2012","",7,0,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds"
94124,"0102299921","80","01/01/2012","",8,1,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg"
94125,"0102299929","80","01/01/2012","",8,1,"Other"
94126,"0102299991","10","01/01/2012","",7,0,"Other"
94127,"0102299991","80","01/01/2012","",8,1,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg"
94128,"0102299999","80","01/01/2012","",8,1,"Other"
94054,"0102310000","10","01/01/2012","",1,0,"Buffalo"
94051,"0102310000","80","01/01/2012","",2,1,"Pure-bred breeding animals"
94055,"0102390000","80","01/01/2012","",2,0,"Other"
94129,"0102391000","80","01/01/2012","",3,0,"Domestic species"
96165,"0102391010","80","01/01/2012","",4,1,"Of a weight exceeding 160 kg"
96167,"0102391090","80","01/01/2012","",4,1,"Other"
94130,"0102399000","80","01/01/2012","",3,1,"Other"
27638,"0102900000","80","01/01/1972","",1,0,"Other"
94052,"0102902000","80","01/01/2012","",2,1,"Pure-bred breeding animals"
94131,"0102909100","10","01/01/2012","",2,0,"Other"
94132,"0102909100","80","01/01/2012","",3,0,"Domestic species"
96168,"0102909110","80","01/01/2012","",4,1,"Of a weight exceeding 160 kg"
96166,"0102909190","80","01/01/2012","",4,1,"Other"
94133,"0102909900","80","01/01/2012","",3,1,"Other"
27762,"0103000000","80","01/01/1972","",0,0,"Live swine"
27763,"0103100000","80","01/01/1972","",1,1,"Pure-bred breeding animals"
27764,"0103910000","10","01/01/1972","",1,0,"Other"
27765,"0103910000","80","01/01/1972","",2,0,"Weighing less than 50 kg"
27766,"0103911000","80","01/01/1972","",3,1,"Domestic species"
27767,"0103919000","80","01/01/1972","",3,1,"Other"
27768,"0103920000","80","01/01/1972","",2,0,"Weighing 50 kg or more"
27769,"0103921100","10","01/01/1989","",3,0,"Domestic species"
27770,"0103921100","80","01/01/1972","",4,1,"Sows having farrowed at least once, of a weight of not less than 160 kg"
27771,"0103921900","80","01/01/1972","",4,1,"Other"
27772,"0103929000","80","01/01/1972","",3,1,"Other"
27773,"0104000000","80","01/01/1972","",0,0,"Live sheep and goats"
27774,"0104100000","80","01/01/1972","",1,0,"Sheep"
27775,"0104101000","80","01/01/1972","",2,1,"Pure-bred breeding animals"
27776,"0104103000","10","01/01/1993","",2,0,"Other"
27777,"0104103000","80","01/01/1993","",3,1,"Lambs (up to a year old)"
27778,"0104108000","80","01/01/1993","",3,1,"Other"
27780,"0104200000","80","01/01/1972","",1,0,"Goats"
27781,"0104201000","80","01/01/1972","",2,1,"Pure-bred breeding animals"
27782,"0104209000","80","01/01/1972","",2,1,"Other"
27783,"0105000000","80","01/01/1972","",0,0,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
27784,"0105110000","10","01/01/1972","",1,0,"Weighing not more than 185 g"
27785,"0105110000","80","01/01/1972","",2,0,"Fowls of the species Gallus domesticus"
27786,"0105111100","10","01/01/1993","",3,0,"Grandparent and parent female chicks"
27787,"0105111100","80","01/01/1993","",4,1,"Laying stocks"
27788,"0105111900","80","01/01/1993","",4,1,"Other"
27789,"0105119100","10","01/01/1993","",3,0,"Other"
27790,"0105119100","80","01/01/1993","",4,1,"Laying stocks"
27791,"0105119900","80","01/01/1993","",4,1,"Other"
59201,"0105120000","80","01/01/1996","",2,1,"Turkeys"
94185,"0105130000","80","01/01/2012","",2,1,"Ducks"
94186,"0105140000","80","01/01/2012","",2,1,"Geese"
94187,"0105150000","80","01/01/2012","",2,1,"Guinea fowls"
85304,"0105940000","10","01/01/2007","",1,0,"Other"
85305,"0105940000","80","01/01/2007","",2,1,"Fowls of the species Gallus domesticus"
27797,"0105990000","80","01/01/1972","",2,0,"Other"
27798,"0105991000","80","01/01/1972","",3,1,"Ducks"
27799,"0105992000","80","01/01/1972","",3,1,"Geese"
27800,"0105993000","80","01/01/1972","",3,1,"Turkeys"
27801,"0105995000","80","01/01/1972","",3,1,"Guinea fowls"
27802,"0106000000","80","01/01/1972","",0,0,"Other live animals"
72769,"0106110000","10","01/01/2002","",1,0,"Mammals"
72770,"0106110000","80","01/01/2002","",2,1,"Primates"
72771,"0106120000","80","01/01/2002","",2,1,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
94188,"0106130000","80","01/01/2012","",2,1,"Camels and other camelids (Camelidae)"
94189,"0106140000","80","01/01/2012","",2,0,"Rabbits and hares"
94190,"0106141000","80","01/01/2012","",3,1,"Domestic rabbits"
94191,"0106149000","80","01/01/2012","",3,1,"Other"
72772,"0106190000","80","01/01/2002","",2,1,"Other"
72775,"0106200000","80","01/01/2002","",1,1,"Reptiles (including snakes and turtles)"
72776,"0106310000","10","01/01/2002","",1,0,"Birds"
72777,"0106310000","80","01/01/2002","",2,1,"Birds of prey"
72778,"0106320000","80","01/01/2002","",2,1,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
94192,"0106330000","80","01/01/2012","",2,1,"Ostriches; emus (Dromaius novaehollandiae)"
72779,"0106390000","80","01/01/2002","",2,0,"Other"
72780,"0106391000","80","01/01/2002","",3,1,"Pigeons"
94193,"0106398000","80","01/01/2012","",3,1,"Other"
94194,"0106410000","10","01/01/2012","",1,0,"Insects"
94195,"0106410000","80","01/01/2012","",2,1,"Bees"
94196,"0106490000","80","01/01/2012","",2,1,"Other"
72782,"0106900000","80","01/01/2002","",1,0,"Other"
105936,"0106900010","10","01/01/2021","",2,0,"Frogs"
105934,"0106900010","80","01/01/2021","",3,1,"Fit for human consumption"
105935,"0106900019","80","01/01/2021","",3,1,"Other"
105933,"0106900090","80","01/01/2021","",2,1,"Other"
27809,"0200000000","80","31/12/1971","",0,0,"MEAT AND EDIBLE MEAT OFFAL"
27810,"0201000000","80","01/01/1972","",0,0,"Meat of bovine animals, fresh or chilled"
27811,"0201100000","80","01/01/1972","",1,0,"Carcases and half-carcases"
104276,"0201100021","10","21/09/2017","",2,0,"High quality beef and veal"
104254,"0201100021","80","21/09/2017","",3,1,"Of bison"
104255,"0201100029","80","21/09/2017","",3,1,"Other"
104272,"0201100092","10","21/09/2017","",2,0,"Other"
104271,"0201100092","20","21/09/2017","",3,0,"Carcases of a weight of 180 kg or more but not exceeding 300 kg and half-carcases, of a weight of 90 kg or more but not exceeding 150 kg, with a low degree of ossification of the cartilages (in particular those of the symphysis pubis and the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour"
104260,"0201100092","80","21/09/2017","",4,1,"Of bison"
104262,"0201100094","80","21/09/2017","",4,1,"Other"
104275,"0201100097","10","21/09/2017","",3,0,"Other"
104273,"0201100097","80","21/09/2017","",4,1,"Of bison"
104274,"0201100098","80","21/09/2017","",4,1,"Other"
27824,"0201200000","80","01/01/1972","",1,0,"Other cuts with bone in"
27835,"0201202000","80","01/01/1993","",2,0,"'Compensated' quarters"
104282,"0201202021","10","21/09/2017","",3,0,"High quality beef and veal"
104280,"0201202021","80","21/09/2017","",4,1,"Of bison"
104281,"0201202029","80","21/09/2017","",4,1,"Other"
104287,"0201202092","10","21/09/2017","",3,0,"Other"
104288,"0201202092","20","21/09/2017","",4,0,""Compensated" quarters, of a weight of 90 kg or more but not exceeding 150 kg, with a low degree of ossification of the cartilages (in particular those of the symphysis pubis and the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour"
104289,"0201202092","80","21/09/2017","",5,1,"Of bison"
104290,"0201202094","80","21/09/2017","",5,1,"Other"
104294,"0201202097","10","21/09/2017","",4,0,"Other"
104296,"0201202097","80","21/09/2017","",5,1,"Of bison"
104297,"0201202098","80","21/09/2017","",5,1,"Other"
27849,"0201203000","80","01/01/1993","",2,0,"Unseparated or separated forequarters"
104301,"0201203021","10","21/09/2017","",3,0,"High quality beef and veal"
104303,"0201203021","80","21/09/2017","",4,1,"Of bison"
104304,"0201203029","80","21/09/2017","",4,1,"Other"
104362,"0201203092","10","21/09/2017","",3,0,"Other"
104363,"0201203092","20","21/09/2017","",4,0,"Separated forequarters of a weight of 45 kg or more but not exceeding 75 kg, with a low degree of ossification of the cartilages (in particular those of the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour"
104364,"0201203092","80","21/09/2017","",5,1,"Of bison"
104365,"0201203094","80","21/09/2017","",5,1,"Other"
104366,"0201203097","10","21/09/2017","",4,0,"Other"
104368,"0201203097","80","21/09/2017","",5,1,"Of bison"
104367,"0201203098","80","21/09/2017","",5,1,"Other"
27863,"0201205000","80","01/01/1993","",2,0,"Unseparated or separated hindquarters"
104434,"0201205021","10","21/09/2017","",3,0,"High quality beef and veal"
104435,"0201205021","80","21/09/2017","",4,1,"Of bison"
104436,"0201205029","80","21/09/2017","",4,1,"Other"
104437,"0201205092","10","21/09/2017","",3,0,"Other"
104438,"0201205092","20","21/09/2017","",4,0,"Separated hindquarters of a weight of 45 kg or more but not exceeding 75 kg (38 kg or more but not exceeding 68 kg in the case of "Pistola" cuts), with a low degree of ossification of the cartilages (more especially those of the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour"
104439,"0201205092","80","21/09/2017","",5,1,"Of bison"
104440,"0201205094","80","21/09/2017","",5,1,"Other"
104441,"0201205097","10","21/09/2017","",4,0,"Other"
104442,"0201205097","80","21/09/2017","",5,1,"Of bison"
104443,"0201205098","80","21/09/2017","",5,1,"Other"
27879,"0201209000","80","01/01/1972","",2,0,"Other"
104445,"0201209011","10","21/09/2017","",3,0,"High quality beef and veal"
104446,"0201209011","80","21/09/2017","",4,1,"Of bison"
104448,"0201209015","80","21/09/2017","",4,1,"Other"
104449,"0201209091","10","21/09/2017","",3,0,"Other"
104447,"0201209091","80","21/09/2017","",4,1,"Of bison"
104451,"0201209099","80","21/09/2017","",4,1,"Other"
27882,"0201300000","80","01/01/1972","",1,0,"Boneless"
104452,"0201300031","10","21/09/2017","",2,0,"High quality"
104453,"0201300031","80","21/09/2017","",3,1,"Of bison"
104455,"0201300039","80","21/09/2017","",3,1,"Other"
104456,"0201300041","10","21/09/2017","",2,0,"Other"
104459,"0201300041","20","21/09/2017","",3,0,"Buffalo meat"
104454,"0201300041","80","21/09/2017","",4,1,"Of bison"
104457,"0201300049","80","21/09/2017","",4,1,"Other"
27884,"0201300090","80","01/01/1972","",3,1,"Other"
27885,"0202000000","80","01/01/1972","",0,0,"Meat of bovine animals, frozen"
27886,"0202100000","80","01/01/1972","",1,0,"Carcases and half-carcases"
104293,"0202100011","10","21/09/2017","",2,0,"High quality beef and veal"
104291,"0202100011","80","21/09/2017","",3,1,"Of bison"
104292,"0202100015","80","21/09/2017","",3,1,"Other"
104322,"0202100091","10","21/09/2017","",2,0,"Other"
104323,"0202100091","80","21/09/2017","",3,1,"Of bison"
104321,"0202100099","80","21/09/2017","",3,1,"Other"
27889,"0202200000","80","01/01/1972","",1,0,"Other cuts with bone in"
27890,"0202201000","80","01/01/1972","",2,0,"'Compensated' quarters"
104324,"0202201011","10","21/09/2017","",3,0,"High quality beef and veal"
104325,"0202201011","80","21/09/2017","",4,1,"Of bison"
104327,"0202201015","80","21/09/2017","",4,1,"Other"
104329,"0202201091","10","21/09/2017","",3,0,"Other"
104326,"0202201091","80","21/09/2017","",4,1,"Of bison"
104328,"0202201099","80","21/09/2017","",4,1,"Other"
27893,"0202203000","80","01/01/1972","",2,0,"Unseparated or separated forequarters"
104331,"0202203011","10","21/09/2017","",3,0,"High quality beef and veal"
104334,"0202203011","80","21/09/2017","",4,1,"Of bison"
104339,"0202203015","80","21/09/2017","",4,1,"Other"
104340,"0202203081","10","21/09/2017","",3,0,"Other"
104345,"0202203081","20","21/09/2017","",4,0,"Intended for processing"
104346,"0202203081","30","21/09/2017","",5,0,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)"
104335,"0202203081","80","21/09/2017","",6,1,"Of bison"
104341,"0202203082","80","21/09/2017","",6,1,"Other"
104347,"0202203083","10","21/09/2017","",5,0,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)"
104336,"0202203083","80","21/09/2017","",6,1,"Of bison"
104342,"0202203084","80","21/09/2017","",6,1,"Other"
104349,"0202203085","10","21/09/2017","",5,0,"Other"
104337,"0202203085","80","21/09/2017","",6,1,"Of bison"
104343,"0202203086","80","21/09/2017","",6,1,"Other"
104348,"0202203087","10","21/09/2017","",4,0,"Other"
104338,"0202203087","80","21/09/2017","",5,1,"Of bison"
104344,"0202203088","80","21/09/2017","",5,1,"Other"
27898,"0202205000","80","01/01/1972","",2,0,"Unseparated or separated hindquarters"
104356,"0202205011","10","21/09/2017","",3,0,"High quality beef and veal"
104357,"0202205011","80","21/09/2017","",4,1,"Of bison"
104358,"0202205015","80","21/09/2017","",4,1,"Other"
104359,"0202205091","10","21/09/2017","",3,0,"Other"
104360,"0202205091","80","21/09/2017","",4,1,"Of bison"
104361,"0202205099","80","21/09/2017","",4,1,"Other"
27901,"0202209000","80","01/01/1972","",2,0,"Other"
104333,"0202209011","10","21/09/2017","",3,0,"High quality beef and veal"
104369,"0202209011","80","21/09/2017","",4,1,"Of bison"
104371,"0202209015","80","21/09/2017","",4,1,"Other"
104373,"0202209091","10","21/09/2017","",3,0,"Other"
104370,"0202209091","80","21/09/2017","",4,1,"Of bison"
104372,"0202209099","80","21/09/2017","",4,1,"Other"
27904,"0202300000","80","01/01/1972","",1,0,"Boneless"
27905,"0202301000","80","01/01/1972","",2,0,"Forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; 'compensated' quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excluding the tenderloin, in one piece"
104375,"0202301011","10","21/09/2017","",3,0,"High quality beef and veal"
104376,"0202301011","80","21/09/2017","",4,1,"Of bison"
104379,"0202301015","80","21/09/2017","",4,1,"Other"
104382,"0202301081","10","21/09/2017","",3,0,"Other"
104383,"0202301081","20","21/09/2017","",4,0,"Intended for processing"
104384,"0202301081","30","21/09/2017","",5,0,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)"
104387,"0202301081","80","21/09/2017","",6,1,"Of bison"
104390,"0202301082","80","21/09/2017","",6,1,"Other"
104385,"0202301083","10","21/09/2017","",5,0,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)"
104388,"0202301083","80","21/09/2017","",6,1,"Of bison"
104391,"0202301084","80","21/09/2017","",6,1,"Other"
104408,"0202301085","10","21/09/2017","",5,0,"Other"
104409,"0202301085","80","21/09/2017","",6,1,"Of bison"
104410,"0202301086","80","21/09/2017","",6,1,"Other"
104386,"0202301087","10","21/09/2017","",4,0,"Other"
104389,"0202301087","80","21/09/2017","",5,1,"Of bison"
104392,"0202301088","80","21/09/2017","",5,1,"Other"
27910,"0202305000","80","01/01/1972","",2,0,"Crop, chuck-and-blade and brisket cuts"
104393,"0202305011","10","21/09/2017","",3,0,"High quality beef and veal"
104394,"0202305011","80","21/09/2017","",4,1,"Of bison"
104395,"0202305015","80","21/09/2017","",4,1,"Other"
104396,"0202305081","10","21/09/2017","",3,0,"Other"
104397,"0202305081","20","21/09/2017","",4,0,"Intended for processing"
104398,"0202305081","30","21/09/2017","",5,0,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)"
104399,"0202305081","80","21/09/2017","",6,1,"Of bison"
104402,"0202305082","80","21/09/2017","",6,1,"Other"
104405,"0202305083","10","21/09/2017","",5,0,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)"
104400,"0202305083","80","21/09/2017","",6,1,"Of bison"
104403,"0202305084","80","21/09/2017","",6,1,"Other"
104411,"0202305085","10","21/09/2017","",5,0,"Other"
104412,"0202305085","80","21/09/2017","",6,1,"Of bison"
104413,"0202305086","80","21/09/2017","",6,1,"Other"
104406,"0202305087","10","21/09/2017","",4,0,"Other"
104401,"0202305087","80","21/09/2017","",5,1,"Of bison"
104404,"0202305088","80","21/09/2017","",5,1,"Other"
27915,"0202309000","80","01/01/1972","",2,0,"Other"
104419,"0202309011","10","21/09/2017","",3,0,"High quality"
104414,"0202309011","80","21/09/2017","",4,1,"Of bison"
104421,"0202309015","80","21/09/2017","",4,1,"Other"
104422,"0202309041","10","21/09/2017","",3,0,"Other"
104429,"0202309041","20","21/09/2017","",4,0,"Buffalo meat"
104428,"0202309041","30","21/09/2017","",5,0,"Intended for processing"
104430,"0202309041","40","21/09/2017","",6,0,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)"
104415,"0202309041","80","21/09/2017","",7,1,"Of bison"
104423,"0202309042","80","21/09/2017","",7,1,"Other"
104431,"0202309043","10","21/09/2017","",6,0,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)"
104416,"0202309043","80","21/09/2017","",7,1,"Of bison"
104424,"0202309044","80","21/09/2017","",7,1,"Other"
104425,"0202309045","10","21/09/2017","",6,0,"Other"
104417,"0202309045","80","21/09/2017","",7,1,"Of bison"
104426,"0202309046","80","21/09/2017","",7,1,"Other"
104432,"0202309047","10","21/09/2017","",5,0,"Other"
104418,"0202309047","80","21/09/2017","",6,1,"Of bison"
104427,"0202309048","80","21/09/2017","",6,1,"Other"
63714,"0202309070","10","01/07/1996","",4,0,"Other"
63715,"0202309070","20","01/07/1996","",5,0,"Intended for processing"
63722,"0202309070","80","01/07/1996","",6,1,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)"
63726,"0202309075","80","01/07/1996","",6,1,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)"
63716,"0202309080","80","01/07/1996","",6,1,"Other"
63717,"0202309090","80","01/07/1996","",5,1,"Other"
27921,"0203000000","80","01/01/1972","",0,0,"Meat of swine, fresh, chilled or frozen"
27922,"0203110000","10","01/01/1972","",1,0,"Fresh or chilled"
27923,"0203110000","80","01/01/1972","",2,0,"Carcases and half-carcases"
27924,"0203111000","80","01/01/1972","",3,1,"Of domestic swine"
27925,"0203119000","80","01/01/1972","",3,1,"Other"
27926,"0203120000","80","01/01/1972","",2,0,"Hams, shoulders and cuts thereof, with bone in"
27927,"0203121100","10","01/01/1972","",3,0,"Of domestic swine"
27928,"0203121100","80","01/01/1972","",4,1,"Hams and cuts thereof"
27929,"0203121900","80","01/01/1972","",4,1,"Shoulders and cuts thereof"
27930,"0203129000","80","01/01/1972","",3,1,"Other"
27931,"0203190000","80","01/01/1972","",2,0,"Other"
27932,"0203191100","10","01/01/1972","",3,0,"Of domestic swine"
27933,"0203191100","80","01/01/1972","",4,1,"Fore-ends and cuts thereof"
27934,"0203191300","80","01/01/1972","",4,1,"Loins and cuts thereof, with bone in"
27935,"0203191500","80","01/01/1972","",4,1,"Bellies (streaky) and cuts thereof"
27938,"0203195500","10","01/01/1972","",4,0,"Other"
27939,"0203195500","80","01/01/1972","",5,0,"Boneless"
27940,"0203195510","80","01/03/1992","",6,1,"Tenderloin, presented separately"
85024,"0203195515","10","01/07/2006","",6,0,"Loins and cuts thereof, excluding tenderloin presented separately"
85025,"0203195515","80","01/07/2006","",7,1,"Loins"
85026,"0203195525","80","01/07/2006","",7,1,"Cuts"
59043,"0203195530","80","01/07/1995","",6,1,"Ham and cuts of ham"
27941,"0203195590","80","01/03/1992","",6,1,"Other"
27942,"0203195900","80","01/01/1972","",5,1,"Other"
27943,"0203199000","80","01/01/1972","",3,1,"Other"
27944,"0203210000","10","01/01/1972","",1,0,"Frozen"
27945,"0203210000","80","01/01/1972","",2,0,"Carcases and half-carcases"
27946,"0203211000","80","01/01/1972","",3,1,"Of domestic swine"
27947,"0203219000","80","01/01/1972","",3,1,"Other"
