Key,Was,Is
0207459900_80,Other,Other than livers
0207549900_80,Other,"Other than livers, other than fatty livers"
0207559500_80,Other,Other than fatty livers
0207559900_80,Other,Other than livers
0207602190_80,Other,Other than fresh or chilled
0207609190_80,Other,Other than fresh or chilled
0207609900_80,Other,Other than livers
0208109000_80,Other,Other than of domestic rabbits
0209900000_80,Other,Other than of pigs
0210119000_80,Other,Other than of domestic swine
0210129000_80,Other,Other than of domestic swine
0210195090_80,Other,"Other than hams, in brine, enclosed in a bladder or in an artificial gut"
0210198900_80,Other,Other than boneless
0210199000_80,Other,Other than of domestic swine
0210201090_80,Other,Other than of bison
0210209015_80,Other,Other than of bison
0210209091_10,Other,"Other than cuts of meat from haunches of bovine animals aged at least 18 months, with no visible intramuscular fat (3 to 7 %) and a pH of the fresh meat between 5.4 and 6.0; salted, seasoned, pressed, dried only in fresh dry air and developing noble mould (bloom of microscopic fungi); the weight of the finished product is between 41 % and 53 % of the raw material before salting"
0210209099_80,Other,Other than of bison
0210929100_10,Other,"Other than of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia)"
0210993990_80,Other,"Other than poultrymeat, salted or in brine, of heading 0207"
0210994900_80,Other,Other than livers
0210995190_80,Other,Other than of bison
0210995900_80,Other,Other than thick skirt and thin skirt
0210995990_80,Other,Other than of bison
0210997900_80,Other,"Other than fatty livers of geese or ducks, salted or in brine"
0210998500_80,Other,Other than poultry liver
0210998590_80,Other,Other than of sheep and goats
0210999090_80,Other,Other than of domestic swine and bovine animals
0301190000_80,Other,Other than freshwater fish
0301919000_80,Other,Other than of the species Oncorhynchus apache or Oncorhynchus chrysogaster
0301919019_80,Other,Other than weighing 1.2 kg or less each
0301919090_80,Other,Other than of the species Oncorhynchus mykiss
0301991180_80,Other,Other than atlantic salmon (Salmo salar)
0301991700_80,Other,"Other than pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
0301998500_80,Other,Other than freshwater fish
0302118019_80,Other,"Other than in the form of whole fish (with heads on), whether or not gilled, whether or not gutted, weighing 1,2 kg or less each; with heads off, whether or not gilled, whether or not gutted, weighing 1 kg or less each"
0302118090_80,Other,Other than of the species Oncorhynchus mykiss
0302298000_80,Other,Other than megrim (Lepidorhombus spp.)
0302319000_80,Other,Other than for the industrial manufacture of products of heading 1604
0302329000_80,Other,Other than for the industrial manufacture of products of heading 1604
0302339000_80,Other,Other than for the industrial manufacture of products of heading 1604
0302349000_80,Other,Other than for the industrial manufacture of products of heading 1604
0302351900_80,Other,Other than for the industrial manufacture of products of heading 1604
0302359900_80,Other,Other than for the industrial manufacture of products of heading 1604
0302369000_80,Other,Other than for the industrial manufacture of products of heading 1604
0302398000_80,Other,Other than for the industrial manufacture of products of heading 1604
0302410090_80,Other,"Other than of a weight exceeding 100 g per piece, for processing"
0302440090_80,Other,Other than mackerel (Scomber scombrus)
0302459090_80,Other,Other than horse mackerel (scad) (Caranx trachurus)
0302491900_80,Other,Other than for the industrial manufacture of products of heading 1604
0302499000_80,Other,Other than kawakawa (Euthynnus affinis)
0302511080_80,Other,Other than for processing
0302519000_80,Other,Other than of the species Gadus morhua
0302519090_80,Other,Other than for industrial manufacture
0302520090_80,Other,"Other than with heads off, gilled and gutted, for processing"
0302591090_80,Other,Other than for processing
0302849000_80,Other,Other than european sea bass (Dicentrarchus labrax)
0302892100_10,Other,Other than freshwater fish
0302892900_80,Other,Other than for the industrial manufacture of products of heading 1604
0302893900_80,Other,Other than of the species Sebastes marinus
0302893990_80,Other,Other than of the species Sebastes mentella
0302910097_80,Other,"Other than hard fish roes, for processing"
0302990019_80,Other,Other than of the species Oncorhynchus apache or Oncorhynchus chrysogaster
0302990079_80,Other,Other than pacific halibut (Hippoglossus stenolepis)
0303110080_80,Other,"Other than headed and gutted, for processing"
0303120080_80,Other,"Other than oncorhynchus kisutch, Oncorhynchus keta and Oncorhynchus tschawytscha, headed and gutted, for processing"
0303149019_80,Other,"Other than in the form of whole fish (with heads on), whether or not gilled, whether or not gutted, weighing 1,2 kg or less each; with heads off, whether or not gilled, whether or not gutted, weighing 1 kg or less each"
0303149090_80,Other,Other than of the species Oncorhynchus mykiss
0303190090_80,Other,Other than of the genus Coregone
0303419000_80,Other,Other than for the industrial manufacture of products of heading 1604
0303429000_80,Other,Other than for the industrial manufacture of products of heading 1604
0303439000_80,Other,Other than for the industrial manufacture of products of heading 1604
0303449000_80,Other,Other than for the industrial manufacture of products of heading 1604
0303451800_80,Other,Other than for the industrial manufacture of products of heading 1604
0303459900_80,Other,Other than for the industrial manufacture of products of heading 1604
0303469000_80,Other,Other than for the industrial manufacture of products of heading 1604
0303498500_80,Other,Other than for the industrial manufacture of products of heading 1604
0303541096_80,Other,"Other than whole, for processing"
0303553090_80,Other,Other than for processing
0303559095_10,Other,Other than horse mackerel (scad) (Caranx trachurus)
0303559097_80,Other,Other than for processing
0303560090_80,Other,Other than for processing
0303591090_80,Other,"Other than engraulis anchoita and Engraulis capensis, for processing"
0303592900_80,Other,Other than for the industrial manufacture of products of heading 1604
0303631090_80,Other,Other than for processing
0303633090_80,Other,Other than for processing
0303639090_80,Other,Other than for processing
0303640090_80,Other,"Other than with heads off, gilled and gutted, for processing"
0303661190_80,Other,Other than for processing
0303661290_80,Other,Other than for processing
0303661390_80,Other,Other than for processing
0303661919_80,Other,Other than for processing
0303661999_80,Other,Other than for processing
0303670090_80,Other,Other than for processing
0303691090_80,Other,Other than for processing
0303699090_80,Other,Other than for processing
0303811590_80,Other,"Other than piked dogfish (Squalus acanthias), whole, for processing"
0303820090_80,Other,Other than for processing
0303849000_80,Other,Other than european sea bass (Dicentrarchus labrax)
0303892100_10,Other,Other than freshwater fish
0303892900_80,Other,Other than for the industrial manufacture of products of heading 1604
0303893900_80,Other,Other than of the species Sebastes marinus
0303893990_80,Other,Other than of the species Sebastes mentella
0303895590_80,Other,Other than for processing
0303897090_80,Other,Other than for processing
0303899015_80,Other,Other than for processing
0303899025_80,Other,Other than for processing
0303899095_80,Other,Other than for processing
0303919000_80,Other,Other than hard and soft roes for the manufacture of deoxyribonucleic acid or protamine sulphate
0303919099_80,Other,"Other than hard fish roes, for processing"
0304320090_80,Other,Other than pangasius (Pangasius spp.)
0304410090_80,Other,Other than atlantic salmon (Salmo salar)
0304429090_80,Other,Other than of the species Oncorhynchus mykiss
0304430090_80,Other,Other than of lesser or Greenland halibut (Reinhardtius hippoglossoides) and of Atlantic halibut (Hippoglossus hippoglossus)
0304441090_80,Other,Other than of the species Gadus morhua
0304449090_80,Other,Other than haddock (Melanogrammus aeglefinus)
0304495000_10,Other,Other than freshwater fish
0304495090_80,Other,Other than for processing
0304499000_80,Other,Other than redfish (Sebastes spp.)
0304510090_80,Other,"Other than carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
0304520090_80,Other,"Other than trout of the species Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"
0304530019_80,Other,Other than of the species Gadus morhua
0304530039_80,Other,Other than for processing
0304595000_10,Other,Other than freshwater fish
0304595090_80,Other,"Other than herring of the species Clupea harengus and Clupea pallasii, of a weight exceeding 80 g per piece, for industrial manufacture"
0304599000_80,Other,Other than flaps of herring
0304711090_80,Other,Other than for processing
0304719000_80,Other,Other than cod of the species Gadus macrocephalus
0304719030_80,Other,Other than for processing
0304741590_80,Other,Other than for processing
0304741990_80,Other,"Other than north Pacific hake (Merluccius productus), for processing"
0304750090_80,Other,Other than for processing
0304795090_80,Other,Other than for processing
0304799013_80,Other,Other than for processing
0304799017_10,Other,Other than patagonian grenadier (Macruronus magellanicus)
0304799019_80,Other,Other than for processing
0304799090_80,Other,"Other than fish of the genus Macruronus, other than blue grenadier (Macruronus novaezelandiae) mentioned in subheading 0304 79 50"
0304829090_80,Other,Other than of the species Oncorhynchus mykiss
0304839019_80,Other,Other than reinhardtius hippoglossoides
0304839029_80,Other,Other than for processing
0304860080_80,Other,Other than for processing
0304881190_80,Other,Other than piked dogfish (Squalus acanthias) for processing
0304892100_10,Other,Other than freshwater fish
0304892900_80,Other,Other than of the species Sebastes marinus
0304892990_80,Other,Other than of the species Sebastes mentella
0304894900_80,Other,Other than mackerel of the species Scomber australasicus
0304894929_80,Other,Other than for processing
0304931090_80,Other,Other than for processing
0304939000_80,Other,Other than surimi
0304939090_80,Other,"Other than carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
0304941090_80,Other,Other than for processing
0304949000_80,Other,Other than surimi
0304949090_80,Other,Other than for processing
0304951090_80,Other,Other than for processing
0304952100_10,Other,Other than surimi
0304952190_80,Other,Other than for processing
0304952590_80,Other,Other than for processing
0304959013_80,Other,Other than for processing
0304959017_10,Other,Other than blue grenadier (Macruronus novaezelandiae)
0304959019_80,Other,Other than for processing
0304961090_80,Other,Other than piked dogfish (Squalus acanthias) for processing
0304991090_80,Other,Other than for processing
0304992100_10,Other,Other than surimi
0304992300_10,Other,Other than freshwater fish
0304999918_80,Other,"Other than of Scomber japonicus, for processing"
0304999919_80,Other,Other than flaps
0304999969_80,Other,Other than for processing
0305200018_10,Other,Other than of herrings
0305200041_10,Other,"Other than hard fish roes, washed, cleaned of adherent organs and simply salted or in brine, for the manufacture of caviar substitutes"
0305200049_80,Other,"Other than hard fish roes, salted or in brine, for processing"
0305200072_10,Other,"Other than hard roes, salted or in brine"
0305200073_80,Other,Other than smoked
0305200074_10,Other,Other than of herrings
0305200075_80,Other,Other than smoked
0305200077_80,Other,Other than smoked
0305200079_80,Other,Other than smoked
0305200099_80,Other,Other than smoked
0305310090_80,Other,"Other than carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
0305321900_80,Other,Other than cod of the species Gadus macrocephalus
0305321990_80,Other,Other than cod of the species Gadus morhua
0305329000_80,Other,"Other than cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) and Polar cod (Boreogadus saida)"
0305391090_80,Other,Other than atlantic salmon (Salmo salar)
0305410090_80,Other,Other than atlantic salmon (Salmo salar)
0305430019_80,Other,"Other than in the form of whole fish (with heads on), whether or not gilled, whether or not gutted, weighing 1,2 kg or less each; with heads off, whether or not gilled, whether or not gutted, weighing 1 kg or less each; fillets weighing 400 g or less each"
0305430090_80,Other,Other than of the species Oncorhynchus mykiss
0305449000_80,Other,Other than eels (Anguilla spp.)
0305449090_80,Other,"Other than carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
0305493090_80,Other,Other than of the species Scomber scombrus
0305520090_80,Other,"Other than carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
0305539000_80,Other,Other than polar Cod (Boreogadus saida)
0305549090_80,Other,Other than swordfish (Xiphias gladius)
0305598500_80,Other,Other than atlantic halibut (Hippoglossus hippoglossus)
0305620050_10,Other,Other than for processing
0305630090_80,Other,"Other than engraulis anchoita, for processing"
0305640090_80,Other,"Other than carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
0305691090_80,Other,Other than for processing
0305710090_80,Other,Other than smoked
0305720060_10,Other,Other than for processing
0305720099_80,Other,"Other than trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
0305790060_10,Other,Other than for processing
0305790099_80,Other,"Other than trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
0306111090_80,Other,Other than for processing
0306119000_80,Other,Other than crawfish tails
0306119080_80,Other,Other than for processing
0306121091_10,Other,"Other than lobster (Homarus americanus), cooked"
0306121099_80,Other,Other than cooked
0306129000_80,Other,Other than whole
0306129091_10,Other,"Other than lobster (Homarus americanus), in pieces, cooked"
0306129099_80,Other,"Other than cooked, in shell"
0306149090_80,Other,Other than crab of the species Geryon affinis
0306169900_80,Other,Other than shrimps of the species Crangon crangon
0306179290_80,Other,"Other than shrimps and prawns of the specie Penaeus vannamei and Penaeus monodon, whether in shell or not, not cooked, for processing"
0306179990_80,Other,"Other than shrimps and prawns of the specie Pleoticus muelleri, whether in shell or not, for processing"
0306199000_80,Other,Other than freshwater crayfish
0306310090_80,Other,Other than for processing
0306329100_10,Other,Other than live
0306329900_80,Other,Other than whole
0306339000_80,Other,Other than crabs of the species Cancer pagurus
0306355000_80,Other,Other than fresh or chilled
0306359000_80,Other,Other than shrimps of the species Crangon crangon
0306359030_80,Other,Other than for processing
0306359092_10,Other,Other than fresh (live or dead)
0306359099_80,Other,Other than for processing
0306361019_80,Other,Other than for processing
0306361091_10,Other,Other than fresh (live or dead)
0306361099_80,Other,Other than for processing
0306399000_80,Other,Other than freshwater crayfish
0306399090_80,Other,Other than peurullus spp.
0306921090_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared"
0306929000_80,Other,Other than whole
0306929090_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared"
0306931090_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared"
0306939000_80,Other,Other than crabs of the species Cancer pagurus
0306939090_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared"
0306951900_80,Other,Other than cooked by steaming or by boiling in water
0306951990_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared, in immediate packings of a net content exceeding 2 kg"
0306952029_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared, in immediate packings of a net content exceeding 2 kg"
0306952099_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared, in immediate packings of a net content exceeding 2 kg"
0306953029_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared, in immediate packings of a net content exceeding 2 kg"
0306953099_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared, in immediate packings of a net content exceeding 2 kg"
0306954090_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared, in immediate packings of a net content exceeding 2 kg"
0306959090_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared, in immediate packings of a net content exceeding 2 kg"
0306999000_80,Other,Other than freshwater crayfish
0306999090_80,Other,Other than peurullus spp.
0307111090_80,Other,Other than intended for human consumption
0307119000_80,Other,"Other than flat oysters (of the genus Ostrea), live and weighing (shell included) not more than 40 g each"
0307119090_80,Other,Other than intended for human consumption
0307190090_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared"
0307211090_80,Other,Other than coquilles St Jacques (Pecten maximus)
0307219000_80,Other,"Other than scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten"
0307229000_80,Other,Other than coquilles St Jacques (Pecten maximus)
0307229500_80,Other,"Other than scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten"
0307291090_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared"
0307299000_80,Other,"Other than scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten"
0307299090_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared"
0307311090_80,Other,Other than intended for human consumption
0307319090_80,Other,Other than intended for human consumption
0307392090_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared"
0307398090_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared"
0307432500_80,Other,Other than lesser cuttle fish (Sepiola rondeleti)
0307433590_80,Other,Other than for processing
0307439990_80,Other,Other than todarodes pacificus
0307492090_80,Other,"Other than smoked, whether or not cooked before or during the smoking process, not otherwise prepared"
0307494090_80,Other,"Other than smoked, whether or not cooked before or during the smoking process, not otherwise prepared"
0307495090_80,Other,"Other than smoked, whether or not cooked before or during the smoking process, not otherwise prepared"
0307496090_80,Other,"Other than smoked, whether or not cooked before or during the smoking process, not otherwise prepared"
0307498090_80,Other,"Other than smoked, whether or not cooked before or during the smoking process, not otherwise prepared"
0307590090_80,Other,"Other than smoked, whether or not cooked before or during the smoking process, not otherwise prepared"
0307710090_80,Other,Other than intended for human consumption
0307729000_80,Other,Other than striped venus or other species of the family Veneridae
0307790090_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared"
0307810090_80,Other,Other than intended for human consumption
0307870090_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared"
0307880090_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared"
0307910090_80,Other,Other than common whelk (Buccinum undatum)
0307920090_80,Other,Other than common whelk (Buccinum undatum)
0307990090_80,Other,"Other than smoked, whether in shell or not, whether or not cooked before or during the smoking process, not otherwise prepared"
0308308000_80,Other,Other than frozen
0308308090_80,Other,"Other than live, fresh or chilled"
0309900000_80,Other,Other than of fish
0309900015_80,Other,Other than frozen
0401109000_80,Other,Other than in immediate packings of a net content not exceeding two litres
0401201900_80,Other,Other than in immediate packings of a net content not exceeding two litres
0401209900_80,Other,Other than in immediate packings of a net content not exceeding two litres
0401409000_80,Other,Other than in immediate packings of a net content not exceeding two litres
0401501900_80,Other,Other than in immediate packings of a net content not exceeding two litres
0401503900_80,Other,Other than in immediate packings of a net content not exceeding two litres
0401509900_80,Other,Other than in immediate packings of a net content not exceeding two litres
0402101900_80,Other,"Other than in immediate packings of a net content not exceeding 2,5 kg"
0402109100_10,Other,Other than not containing added sugar or other sweetening matter
0402109900_80,Other,"Other than in immediate packings of a net content not exceeding 2,5 kg"
0402211800_80,Other,"Other than in immediate packings of a net content not exceeding 2,5 kg"
0402219900_80,Other,"Other than in immediate packings of a net content not exceeding 2,5 kg"
0402290000_80,Other,Other than not containing added sugar or other sweetening matter
0402291500_10,Other,"Other than special milk, for infants, in hermetically sealed containers of a net content not exceeding 500 g, of a fat content, by weight, exceeding 10 %"
0402291900_80,Other,"Other than in immediate packings of a net content not exceeding 2,5 kg"
0402299900_80,Other,"Other than in immediate packings of a net content not exceeding 2,5 kg"
0402915900_80,Other,"Other than in immediate packings of a net content not exceeding 2,5 kg"
0402919900_80,Other,"Other than in immediate packings of a net content not exceeding 2,5 kg"
0402990000_80,Other,Other than not containing added sugar or other sweetening matter
0402993900_80,Other,"Other than in immediate packings of a net content not exceeding 2,5 kg"
0402999900_80,Other,"Other than in immediate packings of a net content not exceeding 2,5 kg"
